Description,Category
online complaint portal not working fr several days.,CM Office (Miscellaneous)
"Drainage overflow at Main Road, foul smell everywhere. pls do something asap!",Municipal
Department staff being rude and unhelpful. pls do something asap!,CM Office (Miscellaneous)
Street repair left incomplete at Main Road.,Public Works Department
"Road divider missing near Park, causing accidents.",Transport
Heavy vehicles blocking main road near Highway.,Transport
Footpath tiles uneven and dangerous near Main Road. pls do something asap!,Public Works Department
Buses not stopping at Metro Station despite schedule.,Transport
"Drainage overflow at School, foul smell everywhere.",Municipal
Garbage not collected for 14 days near Metro Station.,Municipal
Online complaint portal not working for several days.,CM Office (Miscellaneous)
Frequent traffic jams near Colony.,Transport
Grievance No. CM6187 pending without update.,CM Office (Miscellaneous)
Frequent delays in public buses at School.,Transport
"Burglary reported at Metro Station, no investigation done.",Police
"Road divider missing near Main Road, causing accidents.",Transport
Assault reported outside School. pls do something asap!,Police
Building being constructed without permission near Metro Station. pls do something asap!,Development Authority
"Streetlight not working in Bus Stand, unsafe at night.",Municipal
"Drainage overflow at Temple, foul smell everywhere.",Municipal
Dumping of debris on open land near Bus Stand.,Development Authority
Assault reported outside Metro Station.,Police
Chain snatching reported yesterday near Metro Station.,Police
Still waiting for action on request raised 11 days ago.,CM Office (Miscellaneous)
Garbage not collected for 11 days near Hospital.,Municipal
Road at Temple has deep potholes causing accidents.,Public Works Department
"Road divider missing near School, causing accidents.",Transport
Land dispute reported at Market.,Development Authority
Bus stop shelter at School damaged and unsafe.,Transport
Heavy vehicles blocking main road near Bus Stand.,Transport
Auto drivers overcharging passengers near School.,Transport
"Burglary reported at School, no investigation done.",Police
"Road divider missing near Park, causing accidents.",Transport
Illegal hoardings at Bus Stand causing obstruction.,Development Authority
Suspicious activities happening around Main Road every night.,Police
Encroachment on government land near Market.,Development Authority
Broken road divider at Market creating risk for vehicles.,Public Works Department
Stray dogs attacking people near Temple.,Municipal
Public nuisance by drunk people at School.,Police
Water supply disrupted since 2 days in Hospital.,Municipal
Newly constructed footpath at Park already broken.,Public Works Department
Stray dogs attacking people near Colony.,Municipal
chain sn@ching reported yesterday n highway.,Police
Encroachment on government land near Colony.,Development Authority
Street repair left incomplete at Market.,Public Works Department
Department staff being rude and unhelpful.,CM Office (Miscellaneous)
Auto drivers overcharging passengers near Bus Stand.,Transport
"Streetlight not working in Main Road, unsafe at night.",Municipal
Broken road divider at Market creating risk for vehicles.,Public Works Department
Filed complaint weeks ago but no response received.,CM Office (Miscellaneous)
Frequent traffic jams near Park.,Transport
Unauthorized shops set up near Temple.,Development Authority
frequent traffic jams n school.,Transport
Land dispute reported at Main Road.,Development Authority
"Burglary reported at Market, no investigation done.",Police
Filed complaint weeks ago but no response received.,CM Office (Miscellaneous)
Grievance No. CM4293 pending without update.,CM Office (Miscellaneous)
Auto drivers overcharging passengers near Metro Station.,Transport
Newly constructed footpath at Highway already broken.,Public Works Department
heavy vehicles blocking main road n temple.,Transport
Chain snatching reported yesterday near School.,Police
Building being constructed without permission near Market.,Development Authority
Encroachment on government land near Park.,Development Authority
"Road divider missing near Hospital, causing accidents.",Transport
Illegal hoardings at Metro Station causing obstruction.,Development Authority
Broken road divider at Temple creating risk for vehicles.,Public Works Department
Stray dogs attacking people near Highway.,Municipal
Frequent delays in public buses at Main Road.,Transport
Frequent delays in public buses at Main Road.,Transport
Online complaint portal not working for several days.,CM Office (Miscellaneous)
Plot boundaries changed illegally near Market.,Development Authority
"theft occurred @ school, no police arrived yet.",Police
"streetlight not working in hospital, unsafe @ night. pls do something asap!",Municipal
Cement road at Park cracked within a week of repair.,Public Works Department
Encroachment on government land near Colony.,Development Authority
Drainage blocked near School causing flooding.,Public Works Department
Overhead bridge construction delayed near School.,Public Works Department
Grievance No. CM7052 pending without update.,CM Office (Miscellaneous)
Public toilet at Market is dirty and broken.,Municipal
"streetlight not working in main road, unsafe @ night.",Municipal
Illegal hoardings at Market causing obstruction.,Development Authority
"Road divider missing near Temple, causing accidents.",Transport
Filed complaint weeks ago but no response received.,CM Office (Miscellaneous)
Public nuisance by drunk people at Park.,Police
Road at Market has deep potholes causing accidents.,Public Works Department
Unauthorized shops set up near Metro Station.,Development Authority
traffic signal malfunctioning n highway.,Transport
Newly constructed footpath at Main Road already broken.,Public Works Department
"burglary reported @ park, no investig@ion done.",Police
Online complaint portal not working for several days.,CM Office (Miscellaneous)
"Loud music playing late night at Metro Station, no action taken.",Police
Illegal construction at School blocking road access.,Development Authority
Auto drivers overcharging passengers near Market.,Transport
Illegal hoardings at Park causing obstruction.,Development Authority
Frequent delays in public buses at Temple.,Transport
"Burglary reported at Colony, no investigation done.",Police
Group of men harassing women near Temple.,Police
w@er supply disrupted since 2 days in main road.,Municipal
Illegal hoardings at School causing obstruction.,Development Authority
"theft occurred @ main road, no police arrived yet.",Police
Public nuisance by drunk people at Hospital.,Police
Grievance No. CM6787 pending without update. pls do something asap!,CM Office (Miscellaneous)
"Road divider missing near Colony, causing accidents. pls do something asap!",Transport
Unauthorized shops set up near Main Road.,Development Authority
Department staff being rude and unhelpful.,CM Office (Miscellaneous)
Suspicious activities happening around Park every night.,Police
Footpath tiles uneven and dangerous near Temple.,Public Works Department
Department staff being rude and unhelpful.,CM Office (Miscellaneous)
Broken road divider at Highway creating risk for vehicles.,Public Works Department
Traffic signal malfunctioning near Main Road.,Transport
Frequent traffic jams near Temple.,Transport
newly constructed footp@h @ temple already broken.,Public Works Department
Stray dogs attacking people near Market.,Municipal
Assault reported outside Metro Station.,Police
No sanitation workers seen for a week at Main Road.,Municipal
Officials not responding to grievance at Metro Station.,CM Office (Miscellaneous)
Newly constructed footpath at Highway already broken.,Public Works Department
Water supply disrupted since 9 days in Hospital.,Municipal
"Drainage overflow at Park, foul smell everywhere.",Municipal
"Loud music playing late night at Colony, no action taken.",Police
"Road divider missing near School, causing accidents. pls do something asap!",Transport
Public nuisance by drunk people at Temple. pls do something asap!,Police
Newly constructed footpath at Highway already broken.,Public Works Department
Unauthorized shops set up near Metro Station.,Development Authority
Assault reported outside Market.,Police
Repeated complaints ignored by department.,CM Office (Miscellaneous)
Street repair left incomplete at Hospital.,Public Works Department
Building being constructed without permission near Metro Station.,Development Authority
Land dispute reported at Metro Station.,Development Authority
Public toilet at Temple is dirty and broken.,Municipal
Assault reported outside Colony.,Police
stray dogs @tacking people n school.,Municipal
Newly constructed footpath at Main Road already broken.,Public Works Department
Stray dogs attacking people near Park.,Municipal
Open manhole causing danger near Main Road.,Municipal
No sanitation workers seen for a week at Hospital.,Municipal
Overhead bridge construction delayed near Temple.,Public Works Department
open manhole causing danger n school.,Municipal
Plot boundaries changed illegally near Metro Station.,Development Authority
Auto drivers overcharging passengers near Hospital.,Transport
Public nuisance by drunk people at Park.,Police
Buses not stopping at Hospital despite schedule.,Transport
Bus stop shelter at Temple damaged and unsafe.,Transport
unauthorized shops set up n highway.,Development Authority
"Streetlight not working in Metro Station, unsafe at night.",Municipal
department staff being rude and unhelpful.,CM Office (Miscellaneous)
Open manhole causing danger near Highway.,Municipal
Overhead bridge construction delayed near Temple.,Public Works Department
"streetlight not working in bus stand, unsafe @ night.",Municipal
Auto drivers overcharging passengers near Market.,Transport
chain sn@ching reported yesterday n school.,Police
"Theft occurred at Colony, no police arrived yet.",Police
Garbage not collected for 10 days near Main Road.,Municipal
Still waiting for action on request raised 6 days ago.,CM Office (Miscellaneous)
Assault reported outside Temple.,Police
filed complaint weeks ago but no response received.,CM Office (Miscellaneous)
"Loud music playing late night at Hospital, no action taken.",Police
"drainage overflow @ market, foul smell everywhere.",Municipal
Drainage blocked near School causing flooding.,Public Works Department
"drainage overflow @ school, foul smell everywhere.",Municipal
Repeated complaints ignored by department.,CM Office (Miscellaneous)
Dumping of debris on open land near Hospital.,Development Authority
public toilet @ metro st@ion is dirty and broken.,Municipal
encroachment on government land n school.,Development Authority
land dispute reported @ park.,Development Authority
"Theft occurred at Main Road, no police arrived yet.",Police
Road at Temple has deep potholes causing accidents.,Public Works Department
"Burglary reported at Hospital, no investigation done.",Police
Auto drivers overcharging passengers near Hospital.,Transport
Assault reported outside Market.,Police
Frequent delays in public buses at Park.,Transport
Frequent traffic jams near Colony.,Transport
no acknowledgment received fr complaint submitted last week.,CM Office (Miscellaneous)
Auto drivers overcharging passengers near Market.,Transport
Road at Park has deep potholes causing accidents.,Public Works Department
online complaint portal not working fr several days.,CM Office (Miscellaneous)
"Burglary reported at Colony, no investigation done.",Police
Chain snatching reported yesterday near Hospital.,Police
Filed complaint weeks ago but no response received.,CM Office (Miscellaneous)
Frequent delays in public buses at Metro Station.,Transport
"Drainage overflow at Bus Stand, foul smell everywhere. pls do something asap!",Municipal
Unauthorized shops set up near Main Road.,Development Authority
public toilet @ temple is dirty and broken.,Municipal
Assault reported outside Market.,Police
Heavy vehicles blocking main road near Park.,Transport
online complaint portal not working fr several days.,CM Office (Miscellaneous)
Group of men harassing women near Temple. pls do something asap!,Police
no acknowledgment received fr complaint submitted last week.,CM Office (Miscellaneous)
"Burglary reported at Park, no investigation done.",Police
Bus stop shelter at Main Road damaged and unsafe.,Transport
Drainage blocked near Metro Station causing flooding.,Public Works Department
Still waiting for action on request raised 2 days ago.,CM Office (Miscellaneous)
Drainage blocked near School causing flooding.,Public Works Department
Chain snatching reported yesterday near Market.,Police
Assault reported outside Temple.,Police
group of men harassing women n main road.,Police
Stray dogs attacking people near Temple.,Municipal
Street repair left incomplete at School.,Public Works Department
Encroachment on government land near Park.,Development Authority
Public nuisance by drunk people at Highway.,Police
Suspicious activities happening around School every night.,Police
Chain snatching reported yesterday near Highway.,Police
Road at Main Road has deep potholes causing accidents.,Public Works Department
No acknowledgment received for complaint submitted last week.,CM Office (Miscellaneous)
Stray dogs attacking people near Bus Stand.,Municipal
Land dispute reported at Hospital.,Development Authority
Department staff being rude and unhelpful.,CM Office (Miscellaneous)
Still waiting for action on request raised 8 days ago.,CM Office (Miscellaneous)
Overhead bridge construction delayed near Main Road.,Public Works Department
cement road @ temple cracked within a week of repair.,Public Works Department
Encroachment on government land near School.,Development Authority
Group of men harassing women near Bus Stand.,Police
Garbage not collected for 6 days near Temple.,Municipal
Filed complaint weeks ago but no response received.,CM Office (Miscellaneous)
Repeated complaints ignored by department.,CM Office (Miscellaneous)
Online complaint portal not working for several days.,CM Office (Miscellaneous)
Building being constructed without permission near Highway.,Development Authority
Unauthorized shops set up near Colony.,Development Authority
Heavy vehicles blocking main road near Metro Station.,Transport
Public toilet at Highway is dirty and broken. pls do something asap!,Municipal
Garbage not collected for 5 days near Main Road. pls do something asap!,Municipal
Unauthorized shops set up near Market.,Development Authority
Auto drivers overcharging passengers near Highway.,Transport
Street repair left incomplete at Park.,Public Works Department
Footpath tiles uneven and dangerous near Colony.,Public Works Department
Department staff being rude and unhelpful.,CM Office (Miscellaneous)
"Loud music playing late night at Park, no action taken.",Police
Illegal construction at Bus Stand blocking road access. pls do something asap!,Development Authority
Newly constructed footpath at Highway already broken.,Public Works Department
Water supply disrupted since 12 days in Market.,Municipal
Drainage blocked near Bus Stand causing flooding.,Public Works Department
Road at Hospital has deep potholes causing accidents.,Public Works Department
Public toilet at Park is dirty and broken.,Municipal
"Road divider missing near Colony, causing accidents.",Transport
Public toilet at Park is dirty and broken.,Municipal
group of men harassing women n hospital.,Police
footp@h tiles uneven and dangerous n colony. pls do something asap!,Public Works Department
Auto drivers overcharging passengers near Temple.,Transport
Open manhole causing danger near Highway.,Municipal
Auto drivers overcharging passengers near Hospital.,Transport
Group of men harassing women near School.,Police
Frequent traffic jams near Main Road.,Transport
Footpath tiles uneven and dangerous near Highway. pls do something asap!,Public Works Department
Department staff being rude and unhelpful.,CM Office (Miscellaneous)
Suspicious activities happening around Highway every night.,Police
"Loud music playing late night at Bus Stand, no action taken.",Police
Chain snatching reported yesterday near Temple.,Police
Online complaint portal not working for several days.,CM Office (Miscellaneous)
Grievance No. CM4019 pending without update.,CM Office (Miscellaneous)
Department staff being rude and unhelpful.,CM Office (Miscellaneous)
Broken road divider at Metro Station creating risk for vehicles.,Public Works Department
Road at Highway has deep potholes causing accidents.,Public Works Department
Encroachment on government land near School.,Development Authority
Drainage blocked near Metro Station causing flooding.,Public Works Department
Frequent traffic jams near Bus Stand.,Transport
"Streetlight not working in Metro Station, unsafe at night.",Municipal
Drainage blocked near School causing flooding.,Public Works Department
"Loud music playing late night at Main Road, no action taken.",Police
Road at School has deep potholes causing accidents.,Public Works Department
Frequent traffic jams near Metro Station. pls do something asap!,Transport
"Streetlight not working in Metro Station, unsafe at night.",Municipal
Group of men harassing women near Bus Stand.,Police
Heavy vehicles blocking main road near Metro Station.,Transport
Frequent delays in public buses at Hospital. pls do something asap!,Transport
Assault reported outside Market.,Police
still waiting fr action on request raised 7 days ago.,CM Office (Miscellaneous)
w@er supply disrupted since 7 days in colony.,Municipal
Building being constructed without permission near Temple.,Development Authority
suspicious activities happening around main road every night.,Police
Chain snatching reported yesterday near Market.,Police
garbage not collected fr 13 days n park.,Municipal
Chain snatching reported yesterday near Park.,Police
Water supply disrupted since 2 days in Highway.,Municipal
Open manhole causing danger near Hospital.,Municipal
Public toilet at Main Road is dirty and broken.,Municipal
traffic signal malfunctioning n hospital.,Transport
Group of men harassing women near Park. pls do something asap!,Police
illegal hoardings @ temple causing obstruction.,Development Authority
Assault reported outside Temple.,Police
Garbage not collected for 7 days near Metro Station.,Municipal
Newly constructed footpath at Main Road already broken.,Public Works Department
Plot boundaries changed illegally near Main Road.,Development Authority
grievance no. cm9004 pending without upd@e.,CM Office (Miscellaneous)
"Loud music playing late night at Temple, no action taken.",Police
"loud music playing l@e night @ temple, no action taken.",Police
Bus stop shelter at Park damaged and unsafe.,Transport
Building being constructed without permission near Metro Station. pls do something asap!,Development Authority
Frequent traffic jams near Colony.,Transport
Drainage blocked near Park causing flooding.,Public Works Department
Water supply disrupted since 5 days in Colony.,Municipal
Water supply disrupted since 8 days in Colony.,Municipal
Auto drivers overcharging passengers near Highway.,Transport
Encroachment on government land near Park. pls do something asap!,Development Authority
Illegal hoardings at Temple causing obstruction.,Development Authority
No acknowledgment received for complaint submitted last week.,CM Office (Miscellaneous)
No acknowledgment received for complaint submitted last week.,CM Office (Miscellaneous)
Filed complaint weeks ago but no response received.,CM Office (Miscellaneous)
unauthorized shops set up n bus stand.,Development Authority
Assault reported outside Hospital.,Police
Street repair left incomplete at Park.,Public Works Department
Frequent delays in public buses at Market.,Transport
"Loud music playing late night at Park, no action taken.",Police
"Drainage overflow at Park, foul smell everywhere.",Municipal
Assault reported outside Temple. pls do something asap!,Police
Road at Park has deep potholes causing accidents.,Public Works Department
Filed complaint weeks ago but no response received.,CM Office (Miscellaneous)
Bus stop shelter at Main Road damaged and unsafe. pls do something asap!,Transport
Illegal construction at Colony blocking road access.,Development Authority
Illegal construction at Highway blocking road access.,Development Authority
No acknowledgment received for complaint submitted last week.,CM Office (Miscellaneous)
Grievance No. CM2075 pending without update.,CM Office (Miscellaneous)
grievance no. cm2330 pending without upd@e.,CM Office (Miscellaneous)
chain sn@ching reported yesterday n bus stand.,Police
Group of men harassing women near Bus Stand. pls do something asap!,Police
Public nuisance by drunk people at School.,Police
Suspicious activities happening around Market every night.,Police
Online complaint portal not working for several days. pls do something asap!,CM Office (Miscellaneous)
cement road @ hospital cracked within a week of repair.,Public Works Department
Frequent delays in public buses at Market.,Transport
Online complaint portal not working for several days.,CM Office (Miscellaneous)
No acknowledgment received for complaint submitted last week. pls do something asap!,CM Office (Miscellaneous)
Land dispute reported at Highway.,Development Authority
Frequent delays in public buses at Park.,Transport
"Burglary reported at School, no investigation done.",Police
Frequent delays in public buses at School.,Transport
Suspicious activities happening around Colony every night.,Police
Auto drivers overcharging passengers near Bus Stand.,Transport
"Streetlight not working in Highway, unsafe at night.",Municipal
Assault reported outside Hospital.,Police
"Streetlight not working in Main Road, unsafe at night.",Municipal
Illegal construction at Highway blocking road access.,Development Authority
Officials not responding to grievance at School.,CM Office (Miscellaneous)
No sanitation workers seen for a week at Bus Stand.,Municipal
Open manhole causing danger near Temple.,Municipal
Assault reported outside Main Road.,Police
Open manhole causing danger near Market.,Municipal
Land dispute reported at School.,Development Authority
Suspicious activities happening around Bus Stand every night.,Police
"drainage overflow @ colony, foul smell everywhere.",Municipal
Building being constructed without permission near Market.,Development Authority
Building being constructed without permission near Market.,Development Authority
Grievance No. CM7769 pending without update. pls do something asap!,CM Office (Miscellaneous)
"Loud music playing late night at Metro Station, no action taken.",Police
Unauthorized shops set up near Temple.,Development Authority
Filed complaint weeks ago but no response received.,CM Office (Miscellaneous)
"Streetlight not working in Park, unsafe at night.",Municipal
no sanit@ion workers seen fr a week @ park.,Municipal
Encroachment on government land near Temple.,Development Authority
Officials not responding to grievance at Highway.,CM Office (Miscellaneous)
Department staff being rude and unhelpful. pls do something asap!,CM Office (Miscellaneous)
Chain snatching reported yesterday near School.,Police
unauthorized shops set up n main road. pls do something asap!,Development Authority
Assault reported outside Colony.,Police
suspicious activities happening around colony every night.,Police
Illegal hoardings at Bus Stand causing obstruction.,Development Authority
Unauthorized shops set up near Main Road.,Development Authority
drainage blocked n colony causing flooding. pls do something asap!,Public Works Department
Overhead bridge construction delayed near Bus Stand.,Public Works Department
Buses not stopping at Park despite schedule. pls do something asap!,Transport
Heavy vehicles blocking main road near Hospital.,Transport
"Streetlight not working in Bus Stand, unsafe at night.",Municipal
Chain snatching reported yesterday near Highway.,Police
Dumping of debris on open land near Bus Stand.,Development Authority
public toilet @ highway is dirty and broken.,Municipal
Dumping of debris on open land near Main Road. pls do something asap!,Development Authority
heavy vehicles blocking main road n park.,Transport
"road divider missing n metro st@ion, causing accidents.",Transport
Water supply disrupted since 8 days in Park.,Municipal
overhead bridge construction delayed n market. pls do something asap!,Public Works Department
Road at Highway has deep potholes causing accidents. pls do something asap!,Public Works Department
Suspicious activities happening around Main Road every night. pls do something asap!,Police
Public toilet at Bus Stand is dirty and broken.,Municipal
Auto drivers overcharging passengers near Main Road.,Transport
Auto drivers overcharging passengers near Main Road. pls do something asap!,Transport
Group of men harassing women near Park.,Police
Garbage not collected for 12 days near School.,Municipal
buses not stopping @ park despite schedule.,Transport
"Streetlight not working in Park, unsafe at night.",Municipal
Filed complaint weeks ago but no response received.,CM Office (Miscellaneous)
Broken road divider at Bus Stand creating risk for vehicles.,Public Works Department
Street repair left incomplete at Highway.,Public Works Department
Frequent traffic jams near Main Road. pls do something asap!,Transport
Plot boundaries changed illegally near Metro Station.,Development Authority
Overhead bridge construction delayed near School.,Public Works Department
Plot boundaries changed illegally near Colony.,Development Authority
Buses not stopping at Bus Stand despite schedule.,Transport
"Drainage overflow at Highway, foul smell everywhere.",Municipal
Frequent delays in public buses at Temple.,Transport
Chain snatching reported yesterday near School. pls do something asap!,Police
Buses not stopping at Metro Station despite schedule.,Transport
Newly constructed footpath at Park already broken.,Public Works Department
public nuisance by drunk people @ school.,Police
Department staff being rude and unhelpful.,CM Office (Miscellaneous)
Bus stop shelter at Hospital damaged and unsafe.,Transport
Overhead bridge construction delayed near Highway.,Public Works Department
Newly constructed footpath at Temple already broken.,Public Works Department
cement road @ park cracked within a week of repair.,Public Works Department
Garbage not collected for 12 days near Market.,Municipal
Frequent traffic jams near Highway. pls do something asap!,Transport
No sanitation workers seen for a week at Highway.,Municipal
Frequent delays in public buses at Bus Stand.,Transport
Buses not stopping at Hospital despite schedule.,Transport
Grievance No. CM1546 pending without update.,CM Office (Miscellaneous)
Suspicious activities happening around School every night. pls do something asap!,Police
Public toilet at Metro Station is dirty and broken. pls do something asap!,Municipal
"Theft occurred at Metro Station, no police arrived yet.",Police
Grievance No. CM5226 pending without update. pls do something asap!,CM Office (Miscellaneous)
group of men harassing women n temple.,Police
plot boundaries changed illegally n hospital. pls do something asap!,Development Authority
public nuisance by drunk people @ market.,Police
Buses not stopping at Colony despite schedule.,Transport
Officials not responding to grievance at Park.,CM Office (Miscellaneous)
Plot boundaries changed illegally near Metro Station. pls do something asap!,Development Authority
No acknowledgment received for complaint submitted last week.,CM Office (Miscellaneous)
Public toilet at Metro Station is dirty and broken. pls do something asap!,Municipal
Suspicious activities happening around Market every night.,Police
Dumping of debris on open land near Market.,Development Authority
department staff being rude and unhelpful.,CM Office (Miscellaneous)
Traffic signal malfunctioning near Hospital.,Transport
Online complaint portal not working for several days.,CM Office (Miscellaneous)
broken road divider @ market cre@ing risk fr vehicles.,Public Works Department
Garbage not collected for 9 days near Hospital.,Municipal
Cement road at Park cracked within a week of repair.,Public Works Department
Department staff being rude and unhelpful.,CM Office (Miscellaneous)
"burglary reported @ bus stand, no investig@ion done.",Police
Still waiting for action on request raised 12 days ago.,CM Office (Miscellaneous)
Broken road divider at Bus Stand creating risk for vehicles.,Public Works Department
"Drainage overflow at Market, foul smell everywhere.",Municipal
frequent traffic jams n highway.,Transport
Street repair left incomplete at Bus Stand.,Public Works Department
Water supply disrupted since 5 days in Park.,Municipal
Frequent delays in public buses at Highway.,Transport
Public toilet at Market is dirty and broken.,Municipal
"Loud music playing late night at Hospital, no action taken.",Police
Garbage not collected for 2 days near Park. pls do something asap!,Municipal
Frequent traffic jams near Colony.,Transport
Grievance No. CM5135 pending without update.,CM Office (Miscellaneous)
Grievance No. CM9424 pending without update. pls do something asap!,CM Office (Miscellaneous)
Illegal hoardings at Highway causing obstruction.,Development Authority
Open manhole causing danger near Bus Stand.,Municipal
Garbage not collected for 9 days near Market.,Municipal
Drainage blocked near Metro Station causing flooding. pls do something asap!,Public Works Department
Public nuisance by drunk people at Market.,Police
Dumping of debris on open land near Temple.,Development Authority
Assault reported outside Hospital. pls do something asap!,Police
Assault reported outside Temple.,Police
Traffic signal malfunctioning near Metro Station.,Transport
Building being constructed without permission near Park.,Development Authority
Drainage blocked near Colony causing flooding. pls do something asap!,Public Works Department
Dumping of debris on open land near Highway.,Development Authority
Filed complaint weeks ago but no response received.,CM Office (Miscellaneous)
Officials not responding to grievance at Metro Station. pls do something asap!,CM Office (Miscellaneous)
Grievance No. CM1843 pending without update.,CM Office (Miscellaneous)
Illegal hoardings at Metro Station causing obstruction.,Development Authority
Assault reported outside Market.,Police
Illegal construction at Colony blocking road access.,Development Authority
w@er supply disrupted since 14 days in market.,Municipal
Traffic signal malfunctioning near School.,Transport
Grievance No. CM8337 pending without update.,CM Office (Miscellaneous)
Auto drivers overcharging passengers near Market.,Transport
Group of men harassing women near Hospital.,Police
drainage blocked n hospital causing flooding.,Public Works Department
Department staff being rude and unhelpful.,CM Office (Miscellaneous)
Overhead bridge construction delayed near Market. pls do something asap!,Public Works Department
Online complaint portal not working for several days.,CM Office (Miscellaneous)
Chain snatching reported yesterday near Main Road.,Police
Encroachment on government land near Bus Stand.,Development Authority
Assault reported outside Colony.,Police
"Road divider missing near Hospital, causing accidents.",Transport
Heavy vehicles blocking main road near Main Road.,Transport
Repeated complaints ignored by department.,CM Office (Miscellaneous)
Public nuisance by drunk people at Park.,Police
Drainage blocked near Bus Stand causing flooding.,Public Works Department
frequent delays in public buses @ park.,Transport
Illegal hoardings at Colony causing obstruction.,Development Authority
Auto drivers overcharging passengers near Hospital.,Transport
Repeated complaints ignored by department.,CM Office (Miscellaneous)
Grievance No. CM4596 pending without update.,CM Office (Miscellaneous)
Stray dogs attacking people near Bus Stand.,Municipal
Public nuisance by drunk people at Hospital.,Police
Public toilet at Metro Station is dirty and broken.,Municipal
Filed complaint weeks ago but no response received. pls do something asap!,CM Office (Miscellaneous)
"Road divider missing near Colony, causing accidents.",Transport
Unauthorized shops set up near Hospital. pls do something asap!,Development Authority
Auto drivers overcharging passengers near Highway.,Transport
No sanitation workers seen for a week at Park.,Municipal
Overhead bridge construction delayed near Market.,Public Works Department
Overhead bridge construction delayed near Market. pls do something asap!,Public Works Department
Buses not stopping at Colony despite schedule.,Transport
Unauthorized shops set up near Metro Station.,Development Authority
"Drainage overflow at School, foul smell everywhere.",Municipal
Footpath tiles uneven and dangerous near Main Road.,Public Works Department
Building being constructed without permission near Park. pls do something asap!,Development Authority
"Loud music playing late night at Bus Stand, no action taken.",Police
Stray dogs attacking people near Bus Stand.,Municipal
Group of men harassing women near Temple.,Police
Filed complaint weeks ago but no response received.,CM Office (Miscellaneous)
Heavy vehicles blocking main road near Hospital.,Transport
suspicious activities happening around park every night.,Police
bus stop shelter @ park damaged and unsafe.,Transport
Garbage not collected for 5 days near Temple.,Municipal
frequent delays in public buses @ market.,Transport
No acknowledgment received for complaint submitted last week.,CM Office (Miscellaneous)
Officials not responding to grievance at Metro Station. pls do something asap!,CM Office (Miscellaneous)
Filed complaint weeks ago but no response received.,CM Office (Miscellaneous)
"Drainage overflow at Bus Stand, foul smell everywhere.",Municipal
Traffic signal malfunctioning near Bus Stand.,Transport
Broken road divider at Park creating risk for vehicles.,Public Works Department
suspicious activities happening around park every night.,Police
Frequent delays in public buses at Main Road.,Transport
Overhead bridge construction delayed near Hospital.,Public Works Department
Repeated complaints ignored by department.,CM Office (Miscellaneous)
"Road divider missing near Main Road, causing accidents.",Transport
Building being constructed without permission near Metro Station.,Development Authority
Illegal construction at Main Road blocking road access.,Development Authority
Public nuisance by drunk people at Park.,Police
"Loud music playing late night at Main Road, no action taken. pls do something asap!",Police
"Theft occurred at School, no police arrived yet.",Police
"Loud music playing late night at Temple, no action taken.",Police
Plot boundaries changed illegally near Market.,Development Authority
Filed complaint weeks ago but no response received.,CM Office (Miscellaneous)
Grievance No. CM6125 pending without update. pls do something asap!,CM Office (Miscellaneous)
Chain snatching reported yesterday near School.,Police
department staff being rude and unhelpful.,CM Office (Miscellaneous)
Illegal hoardings at Metro Station causing obstruction.,Development Authority
Broken road divider at Park creating risk for vehicles.,Public Works Department
"Streetlight not working in Market, unsafe at night.",Municipal
Illegal hoardings at Market causing obstruction.,Development Authority
Drainage blocked near Hospital causing flooding.,Public Works Department
"Drainage overflow at Main Road, foul smell everywhere.",Municipal
Buses not stopping at Colony despite schedule.,Transport
road @ market has deep potholes causing accidents.,Public Works Department
"Loud music playing late night at Highway, no action taken.",Police
Illegal construction at School blocking road access.,Development Authority
"Loud music playing late night at Park, no action taken.",Police
Encroachment on government land near Colony.,Development Authority
Land dispute reported at Highway.,Development Authority
No sanitation workers seen for a week at Colony.,Municipal
Overhead bridge construction delayed near Highway.,Public Works Department
"Streetlight not working in Hospital, unsafe at night.",Municipal
Open manhole causing danger near Colony.,Municipal
Drainage blocked near Metro Station causing flooding.,Public Works Department
Unauthorized shops set up near School.,Development Authority
Repeated complaints ignored by department.,CM Office (Miscellaneous)
street repair left incomplete @ metro st@ion.,Public Works Department
Garbage not collected for 5 days near Metro Station.,Municipal
Overhead bridge construction delayed near Main Road.,Public Works Department
Online complaint portal not working for several days.,CM Office (Miscellaneous)
land dispute reported @ school.,Development Authority
Still waiting for action on request raised 7 days ago.,CM Office (Miscellaneous)
Assault reported outside Main Road.,Police
Auto drivers overcharging passengers near Main Road.,Transport
Department staff being rude and unhelpful.,CM Office (Miscellaneous)
Cement road at Bus Stand cracked within a week of repair. pls do something asap!,Public Works Department
buses not stopping @ park despite schedule.,Transport
"Road divider missing near School, causing accidents.",Transport
Bus stop shelter at Main Road damaged and unsafe.,Transport
Cement road at School cracked within a week of repair.,Public Works Department
Frequent delays in public buses at Main Road.,Transport
Group of men harassing women near School.,Police
"Burglary reported at Park, no investigation done.",Police
Newly constructed footpath at Market already broken. pls do something asap!,Public Works Department
Road at Market has deep potholes causing accidents.,Public Works Department
Broken road divider at Metro Station creating risk for vehicles.,Public Works Department
Stray dogs attacking people near Market.,Municipal
frequent delays in public buses @ bus stand.,Transport
Stray dogs attacking people near School.,Municipal
No acknowledgment received for complaint submitted last week.,CM Office (Miscellaneous)
Suspicious activities happening around Market every night.,Police
Land dispute reported at Market.,Development Authority
