Description,Category
Building without proper permission in Green Park. please resolve soon.,Development Authority
Culvert repair pending at New Town. facing issues since last week.,Public Works Department
Robbery incident reported near bus stop. situation getting worse.,Police
Signal at city mall not functioning properly causing accidents. facing issues since last week.,Transport
Land encroachment by private party near temple.,Development Authority
Plot disputes not being resolved on time. request urgent action.,Development Authority
Flyover joints damaged and causing vehicle imbalance. request urgent action.,Public Works Department
People blocking roads with illegal sheds. kindly look into this.,Development Authority
Theft cases increasing in Green Park. Please increase patrolling. situation getting worse.,Police
There is frequent eve teasing near the main road.,Police
Accidents happening due to no speed breakers at railway station. kindly look into this.,Transport
Illegal gambling happening behind bus depot. facing issues since last week.,Police
Signal at city mall not functioning properly causing accidents. situation getting worse.,Transport
Citizen grievance unresolved despite repeated attempts. needs immediate attention.,CM Office (Miscellaneous)
"Unfair practices in local department reported, please look into it. facing issues since last week.",CM Office (Miscellaneous)
Stormwater drain collapsed near signal point. please resolve soon.,Public Works Department
Bus route 14 not running on time for several days. kindly look into this.,Transport
Encroachment on public land at railway station. needs immediate attention.,Development Authority
Complaint regarding layout approval delay. kindly look into this.,Development Authority
Uneven road surface leading to traffic problems. situation getting worse.,Public Works Department
Building without proper permission in Lakeview. situation getting worse.,Development Authority
People fighting daily at the bus stop. facing issues since last week.,Police
Online complaint portal not working for days. please resolve soon.,CM Office (Miscellaneous)
Building without proper permission in XYZ Nagar. kindly look into this.,Development Authority
Bus route 6 not running on time for several days. facing issues since last week.,Transport
Signal at petrol bunk not functioning properly causing accidents. request urgent action.,Transport
There is frequent eve teasing near the bus stop.,Police
"Street damaged after rain, vehicles skidding.",Public Works Department
Road full of potholes at temple. situation getting worse.,Public Works Department
"Unfair practices in local department reported, please look into it. situation getting worse.",CM Office (Miscellaneous)
Waste dumped on roadside in Sector 12. situation getting worse.,Municipal
Autos refusing passengers in XYZ Nagar.,Transport
Stray dogs attacking people in Central Avenue. kindly look into this.,Municipal
Plot disputes not being resolved on time. request urgent action.,Development Authority
Application not processed even after multiple visits. request urgent action.,CM Office (Miscellaneous)
No proper communication from officials on issue raised. situation getting worse.,CM Office (Miscellaneous)
Need urgent help regarding electricity bill issue. facing issues since last week.,CM Office (Miscellaneous)
"Unfair practices in local department reported, please look into it. request urgent action.",CM Office (Miscellaneous)
New road construction delayed at MG Road. situation getting worse.,Public Works Department
Staff behavior rude and unhelpful in office. needs immediate attention.,CM Office (Miscellaneous)
Complaint regarding layout approval delay. please resolve soon.,Development Authority
Water stagnation near hospital due to poor drainage. kindly look into this.,Public Works Department
Pedestrian crossing signal not working at hospital. facing issues since last week.,Transport
People blocking roads with illegal sheds. request urgent action.,Development Authority
Broken divider near signal point causing jams. situation getting worse.,Transport
Bus route 41 not running on time for several days. request urgent action.,Transport
Heavy traffic jam at bus stop every morning.,Transport
Land encroachment by private party near hospital.,Development Authority
Public dustbins overflowing and not cleaned.,Municipal
Accidents happening due to no speed breakers at main road. situation getting worse.,Transport
Encroachment on public land at school. facing issues since last week.,Development Authority
Illegal gambling happening behind city mall. situation getting worse.,Police
Citizen grievance unresolved despite repeated attempts. please resolve soon.,CM Office (Miscellaneous)
Fogging not done properly leading to mosquito menace. situation getting worse.,Municipal
Uneven road surface leading to traffic problems. please resolve soon.,Public Works Department
Unhygienic conditions near market in Sector 12. facing issues since last week.,Municipal
Drainage overflow causing bad smell near main road. request urgent action.,Municipal
Need urgent help regarding electricity bill issue.,CM Office (Miscellaneous)
Bus shelter at XYZ Nagar broken and unsafe. needs immediate attention.,Transport
Women feel unsafe walking home after 7 PM. situation getting worse.,Police
Unhygienic conditions near market in Lakeview. please resolve soon.,Municipal
Bridge under repair for months at junction. please resolve soon.,Public Works Department
"Footpath broken near Downtown, pedestrians facing issues. please resolve soon.",Public Works Department
"Street damaged after rain, vehicles skidding. request urgent action.",Public Works Department
Open manhole in bus stop dangerous for kids.,Municipal
Plot disputes not being resolved on time. kindly look into this.,Development Authority
Pedestrian crossing signal not working at bus stop.,Transport
Unauthorized shops operating near city mall. please resolve soon.,Development Authority
Open manhole in market area dangerous for kids. needs immediate attention.,Municipal
Complaint regarding layout approval delay. facing issues since last week.,Development Authority
Heavy traffic jam at main road every morning.,Transport
Road full of potholes at railway station. please resolve soon.,Public Works Department
Unhygienic conditions near market in MG Road.,Municipal
"Unfair practices in local department reported, please look into it. facing issues since last week.",CM Office (Miscellaneous)
Robbery incident reported near hospital. needs immediate attention.,Police
Encroachment on public land at market area. please resolve soon.,Development Authority
Open manhole in hospital dangerous for kids. please resolve soon.,Municipal
Bus shelter at Lakeview broken and unsafe. situation getting worse.,Transport
Water leakage near main bazaar road. situation getting worse.,Municipal
Theft cases increasing in Lakeview. Please increase patrolling. situation getting worse.,Police
Drunken men creating disturbance in ABC Colony. situation getting worse.,Police
Illegal gambling happening behind community hall. facing issues since last week.,Police
Chain snatching reported near signal point. Please take action. kindly look into this.,Police
There is frequent eve teasing near the railway station. needs immediate attention.,Police
Application not processed even after multiple visits. please resolve soon.,CM Office (Miscellaneous)
Loud noise and public nuisance every night around temple.,Police
No proper communication from officials on issue raised. needs immediate attention.,CM Office (Miscellaneous)
"Footpath broken near Lakeview, pedestrians facing issues. needs immediate attention.",Public Works Department
Public dustbins overflowing and not cleaned. situation getting worse.,Municipal
Delay in pension disbursement for seniors. needs immediate attention.,CM Office (Miscellaneous)
Application not processed even after multiple visits. needs immediate attention.,CM Office (Miscellaneous)
Delay in pension disbursement for seniors.,CM Office (Miscellaneous)
Flyover joints damaged and causing vehicle imbalance. please resolve soon.,Public Works Department
Stormwater drain collapsed near junction. please resolve soon.,Public Works Department
People fighting daily at the park. situation getting worse.,Police
Encroachment on public land at market area. kindly look into this.,Development Authority
Bus shelter at XYZ Nagar broken and unsafe.,Transport
Corruption complaint ignored by local officer. needs immediate attention.,CM Office (Miscellaneous)
Pedestrian crossing signal not working at park. situation getting worse.,Transport
Stray dogs attacking people in Lakeview. kindly look into this.,Municipal
"Footpath broken near XYZ Nagar, pedestrians facing issues. facing issues since last week.",Public Works Department
Illegal construction happening on main bazaar road. needs immediate attention.,Development Authority
Streetlights not working since last week in Green Park. needs immediate attention.,Municipal
Complaint regarding layout approval delay. kindly look into this.,Development Authority
Theft cases increasing in Downtown. Please increase patrolling. situation getting worse.,Police
"Street damaged after rain, vehicles skidding. please resolve soon.",Public Works Department
Need urgent help regarding electricity bill issue. needs immediate attention.,CM Office (Miscellaneous)
Drunken men creating disturbance in XYZ Nagar. kindly look into this.,Police
"Unfair practices in local department reported, please look into it. situation getting worse.",CM Office (Miscellaneous)
Land encroachment by private party near school.,Development Authority
There is frequent eve teasing near the park. kindly look into this.,Police
Flyover construction delay leading to congestion.,Transport
Bridge under repair for months at bus depot. facing issues since last week.,Public Works Department
Waste dumped on roadside in Sector 12. please resolve soon.,Municipal
Flyover joints damaged and causing vehicle imbalance. kindly look into this.,Public Works Department
Poor road markings making driving difficult.,Transport
Complaint regarding layout approval delay. situation getting worse.,Development Authority
Construction debris dumped near ABC Colony. needs immediate attention.,Development Authority
Fogging not done properly leading to mosquito menace. kindly look into this.,Municipal
Pedestrian crossing signal not working at hospital.,Transport
Signal at junction not functioning properly causing accidents. facing issues since last week.,Transport
Bridge under repair for months at bus depot. request urgent action.,Public Works Department
Need urgent help regarding electricity bill issue. kindly look into this.,CM Office (Miscellaneous)
Water leakage near ring road. needs immediate attention.,Municipal
Water leakage near 2nd street.,Municipal
Encroachment on public land at market area. facing issues since last week.,Development Authority
Waste dumped on roadside in Lakeview. request urgent action.,Municipal
Unauthorized shops operating near bus depot. kindly look into this.,Development Authority
Robbery incident reported near school.,Police
Accidents happening due to no speed breakers at temple. facing issues since last week.,Transport
Autos refusing passengers in MG Road. situation getting worse.,Transport
Stormwater drain collapsed near city mall. request urgent action.,Public Works Department
Flyover joints damaged and causing vehicle imbalance. situation getting worse.,Public Works Department
Heavy traffic jam at railway station every morning. request urgent action.,Transport
Citizen grievance unresolved despite repeated attempts. facing issues since last week.,CM Office (Miscellaneous)
People blocking roads with illegal sheds. needs immediate attention.,Development Authority
New road construction delayed at MG Road. needs immediate attention.,Public Works Department
Autos refusing passengers in ABC Colony. kindly look into this.,Transport
Construction debris dumped near Sector 12. facing issues since last week.,Development Authority
Robbery incident reported near park. please resolve soon.,Police
Stormwater drain collapsed near community hall. facing issues since last week.,Public Works Department
Poor road markings making driving difficult. please resolve soon.,Transport
No proper communication from officials on issue raised. facing issues since last week.,CM Office (Miscellaneous)
Poor road markings making driving difficult. facing issues since last week.,Transport
Bus route 53 not running on time for several days. kindly look into this.,Transport
Unauthorized shops operating near signal point. situation getting worse.,Development Authority
Drunken men creating disturbance in Central Avenue.,Police
Broken divider near bus depot causing jams. request urgent action.,Transport
Water leakage near 1st cross. situation getting worse.,Municipal
There is frequent eve teasing near the hospital. kindly look into this.,Police
Autos refusing passengers in Downtown. request urgent action.,Transport
People blocking roads with illegal sheds. please resolve soon.,Development Authority
People blocking roads with illegal sheds. request urgent action.,Development Authority
Staff behavior rude and unhelpful in office. facing issues since last week.,CM Office (Miscellaneous)
Unauthorized shops operating near petrol bunk. facing issues since last week.,Development Authority
Theft cases increasing in Sector 12. Please increase patrolling. needs immediate attention.,Police
Need urgent help regarding electricity bill issue. situation getting worse.,CM Office (Miscellaneous)
Flyover construction delay leading to congestion. situation getting worse.,Transport
Illegal construction happening on main bazaar road. facing issues since last week.,Development Authority
"Unfair practices in local department reported, please look into it. needs immediate attention.",CM Office (Miscellaneous)
Accidents happening due to no speed breakers at railway station. kindly look into this.,Transport
Water leakage near main bazaar road. please resolve soon.,Municipal
Flyover construction delay leading to congestion. situation getting worse.,Transport
Heavy traffic jam at main road every morning. needs immediate attention.,Transport
Streetlights not working since last week in Green Park. kindly look into this.,Municipal
Drainage overflow causing bad smell near school. facing issues since last week.,Municipal
Broken divider near signal point causing jams. facing issues since last week.,Transport
Unauthorized shops operating near community hall. request urgent action.,Development Authority
Waste dumped on roadside in MG Road. kindly look into this.,Municipal
Illegal construction happening on ring road. facing issues since last week.,Development Authority
Theft cases increasing in Central Avenue. Please increase patrolling. request urgent action.,Police
"Unfair practices in local department reported, please look into it. request urgent action.",CM Office (Miscellaneous)
Flyover construction delay leading to congestion. facing issues since last week.,Transport
Complaint regarding layout approval delay. needs immediate attention.,Development Authority
Staff behavior rude and unhelpful in office. kindly look into this.,CM Office (Miscellaneous)
Corruption complaint ignored by local officer. needs immediate attention.,CM Office (Miscellaneous)
People blocking roads with illegal sheds.,Development Authority
Land encroachment by private party near temple. kindly look into this.,Development Authority
"Street damaged after rain, vehicles skidding. situation getting worse.",Public Works Department
Accidents happening due to no speed breakers at school. needs immediate attention.,Transport
Drainage overflow causing bad smell near school. please resolve soon.,Municipal
Bus route 18 not running on time for several days. needs immediate attention.,Transport
Drunken men creating disturbance in MG Road. request urgent action.,Police
Heavy traffic jam at temple every morning. request urgent action.,Transport
Loud noise and public nuisance every night around temple.,Police
Pedestrian crossing signal not working at market area. situation getting worse.,Transport
Stormwater drain collapsed near bus depot. situation getting worse.,Public Works Department
Bridge under repair for months at signal point. facing issues since last week.,Public Works Department
Bus shelter at Sector 12 broken and unsafe. please resolve soon.,Transport
Robbery incident reported near bus stop. request urgent action.,Police
Signal at bus depot not functioning properly causing accidents. needs immediate attention.,Transport
Plot disputes not being resolved on time. situation getting worse.,Development Authority
Illegal construction happening on 1st cross.,Development Authority
Heavy traffic jam at school every morning. please resolve soon.,Transport
New road construction delayed at Downtown. needs immediate attention.,Public Works Department
Citizen grievance unresolved despite repeated attempts. kindly look into this.,CM Office (Miscellaneous)
Poor road markings making driving difficult. situation getting worse.,Transport
Theft cases increasing in Central Avenue. Please increase patrolling. kindly look into this.,Police
Open manhole in park dangerous for kids. kindly look into this.,Municipal
Water leakage near 1st cross. please resolve soon.,Municipal
Unauthorized shops operating near bus depot. kindly look into this.,Development Authority
Accidents happening due to no speed breakers at school. request urgent action.,Transport
No proper communication from officials on issue raised. please resolve soon.,CM Office (Miscellaneous)
Garbage not collected in MG Road for several days. needs immediate attention.,Municipal
Road full of potholes at market area. needs immediate attention.,Public Works Department
Poor road markings making driving difficult. request urgent action.,Transport
Broken divider near city mall causing jams. facing issues since last week.,Transport
Robbery incident reported near temple. request urgent action.,Police
"Unfair practices in local department reported, please look into it. facing issues since last week.",CM Office (Miscellaneous)
New road construction delayed at ABC Colony. request urgent action.,Public Works Department
Signal at junction not functioning properly causing accidents. situation getting worse.,Transport
Drainage overflow causing bad smell near railway station. situation getting worse.,Municipal
Road full of potholes at bus stop. please resolve soon.,Public Works Department
Women feel unsafe walking home after 7 PM. needs immediate attention.,Police
Theft cases increasing in Green Park. Please increase patrolling. situation getting worse.,Police
Autos refusing passengers in ABC Colony. situation getting worse.,Transport
Broken divider near community hall causing jams. needs immediate attention.,Transport
Corruption complaint ignored by local officer.,CM Office (Miscellaneous)
Poor road markings making driving difficult. situation getting worse.,Transport
Land encroachment by private party near park.,Development Authority
Stormwater drain collapsed near city mall.,Public Works Department
Flyover joints damaged and causing vehicle imbalance. please resolve soon.,Public Works Department
New road construction delayed at Central Avenue. please resolve soon.,Public Works Department
Online complaint portal not working for days. situation getting worse.,CM Office (Miscellaneous)
Autos refusing passengers in Sector 12. facing issues since last week.,Transport
Drainage overflow causing bad smell near bus stop. situation getting worse.,Municipal
Plot disputes not being resolved on time. situation getting worse.,Development Authority
Theft cases increasing in Central Avenue. Please increase patrolling. please resolve soon.,Police
Land encroachment by private party near school. please resolve soon.,Development Authority
Flyover construction delay leading to congestion. situation getting worse.,Transport
Need urgent help regarding electricity bill issue.,CM Office (Miscellaneous)
Pedestrian crossing signal not working at market area. situation getting worse.,Transport
New road construction delayed at Sector 12.,Public Works Department
Illegal construction happening on 1st cross. request urgent action.,Development Authority
Stormwater drain collapsed near bus depot. request urgent action.,Public Works Department
Government office not responding to complaints. needs immediate attention.,CM Office (Miscellaneous)
Police not responding quickly during emergencies. please resolve soon.,Police
Bridge under repair for months at junction. needs immediate attention.,Public Works Department
Public dustbins overflowing and not cleaned. please resolve soon.,Municipal
Bus shelter at Central Avenue broken and unsafe. request urgent action.,Transport
Violation of building norms at temple. needs immediate attention.,Development Authority
Water leakage near 2nd street. facing issues since last week.,Municipal
Bus route 30 not running on time for several days. facing issues since last week.,Transport
Broken divider near bus depot causing jams. kindly look into this.,Transport
Stray dogs attacking people in Lakeview. situation getting worse.,Municipal
Waste dumped on roadside in Sector 12. kindly look into this.,Municipal
Fogging not done properly leading to mosquito menace. please resolve soon.,Municipal
Application not processed even after multiple visits. kindly look into this.,CM Office (Miscellaneous)
Unhygienic conditions near market in MG Road. facing issues since last week.,Municipal
Poor road markings making driving difficult. needs immediate attention.,Transport
Streetlights not working since last week in ABC Colony. request urgent action.,Municipal
Application not processed even after multiple visits. needs immediate attention.,CM Office (Miscellaneous)
People fighting daily at the main road. situation getting worse.,Police
Unauthorized shops operating near city mall. facing issues since last week.,Development Authority
No proper communication from officials on issue raised. facing issues since last week.,CM Office (Miscellaneous)
Staff behavior rude and unhelpful in office. request urgent action.,CM Office (Miscellaneous)
Public dustbins overflowing and not cleaned. please resolve soon.,Municipal
Encroachment on public land at bus stop. kindly look into this.,Development Authority
Unauthorized shops operating near community hall. kindly look into this.,Development Authority
Broken divider near junction causing jams. request urgent action.,Transport
Poor road markings making driving difficult. situation getting worse.,Transport
Plot disputes not being resolved on time. kindly look into this.,Development Authority
Drainage overflow causing bad smell near school.,Municipal
Heavy traffic jam at market area every morning.,Transport
Water leakage near ring road.,Municipal
Uneven road surface leading to traffic problems. situation getting worse.,Public Works Department
Chain snatching reported near signal point. Please take action. request urgent action.,Police
Chain snatching reported near petrol bunk. Please take action. facing issues since last week.,Police
Waste dumped on roadside in Central Avenue.,Municipal
Road full of potholes at park. request urgent action.,Public Works Department
Women feel unsafe walking home after 7 PM. facing issues since last week.,Police
Loud noise and public nuisance every night around railway station. kindly look into this.,Police
Bus route 36 not running on time for several days. facing issues since last week.,Transport
Autos refusing passengers in Downtown. needs immediate attention.,Transport
Garbage not collected in MG Road for several days.,Municipal
Staff behavior rude and unhelpful in office. request urgent action.,CM Office (Miscellaneous)
Violation of building norms at bus stop. request urgent action.,Development Authority
Stray dogs attacking people in Central Avenue.,Municipal
Loud noise and public nuisance every night around main road.,Police
Complaint regarding layout approval delay. please resolve soon.,Development Authority
Delay in pension disbursement for seniors.,CM Office (Miscellaneous)
Signal at bus depot not functioning properly causing accidents.,Transport
Plot disputes not being resolved on time. facing issues since last week.,Development Authority
Garbage not collected in MG Road for several days. facing issues since last week.,Municipal
"Unfair practices in local department reported, please look into it. situation getting worse.",CM Office (Miscellaneous)
There is frequent eve teasing near the temple. please resolve soon.,Police
Uneven road surface leading to traffic problems. situation getting worse.,Public Works Department
Application not processed even after multiple visits. please resolve soon.,CM Office (Miscellaneous)
There is frequent eve teasing near the park. facing issues since last week.,Police
Stray dogs attacking people in Green Park. please resolve soon.,Municipal
Autos refusing passengers in Downtown. please resolve soon.,Transport
Drainage overflow causing bad smell near hospital. facing issues since last week.,Municipal
"Footpath broken near XYZ Nagar, pedestrians facing issues. kindly look into this.",Public Works Department
Stormwater drain collapsed near signal point.,Public Works Department
Uneven road surface leading to traffic problems.,Public Works Department
Public dustbins overflowing and not cleaned. please resolve soon.,Municipal
Police not responding quickly during emergencies. kindly look into this.,Police
Encroachment on public land at hospital. needs immediate attention.,Development Authority
Fogging not done properly leading to mosquito menace. facing issues since last week.,Municipal
No proper communication from officials on issue raised.,CM Office (Miscellaneous)
Poor road markings making driving difficult. needs immediate attention.,Transport
People blocking roads with illegal sheds. please resolve soon.,Development Authority
Building without proper permission in Central Avenue. kindly look into this.,Development Authority
Water stagnation near hospital due to poor drainage. kindly look into this.,Public Works Department
Streetlights not working since last week in Downtown. needs immediate attention.,Municipal
Construction debris dumped near Green Park. situation getting worse.,Development Authority
Need urgent help regarding electricity bill issue. please resolve soon.,CM Office (Miscellaneous)
Staff behavior rude and unhelpful in office. needs immediate attention.,CM Office (Miscellaneous)
Waste dumped on roadside in Lakeview. request urgent action.,Municipal
Robbery incident reported near main road.,Police
Complaint regarding layout approval delay. facing issues since last week.,Development Authority
Illegal gambling happening behind community hall. situation getting worse.,Police
Poor road markings making driving difficult. needs immediate attention.,Transport
Theft cases increasing in Green Park. Please increase patrolling. request urgent action.,Police
Complaint regarding layout approval delay. please resolve soon.,Development Authority
Encroachment on public land at main road. please resolve soon.,Development Authority
Unauthorized shops operating near junction. situation getting worse.,Development Authority
Garbage not collected in Downtown for several days. situation getting worse.,Municipal
Water stagnation near temple due to poor drainage. situation getting worse.,Public Works Department
Heavy traffic jam at school every morning. please resolve soon.,Transport
Illegal construction happening on 2nd street. needs immediate attention.,Development Authority
"Unfair practices in local department reported, please look into it. needs immediate attention.",CM Office (Miscellaneous)
Broken divider near petrol bunk causing jams. situation getting worse.,Transport
People blocking roads with illegal sheds. please resolve soon.,Development Authority
Bus route 66 not running on time for several days. please resolve soon.,Transport
Unauthorized shops operating near petrol bunk. facing issues since last week.,Development Authority
Illegal gambling happening behind bus depot. situation getting worse.,Police
Building without proper permission in MG Road. situation getting worse.,Development Authority
Fogging not done properly leading to mosquito menace. needs immediate attention.,Municipal
Streetlights not working since last week in ABC Colony. facing issues since last week.,Municipal
Bus route 6 not running on time for several days. situation getting worse.,Transport
New road construction delayed at MG Road.,Public Works Department
Encroachment on public land at temple. facing issues since last week.,Development Authority
No proper communication from officials on issue raised. kindly look into this.,CM Office (Miscellaneous)
Plot disputes not being resolved on time. facing issues since last week.,Development Authority
Encroachment on public land at temple.,Development Authority
Drunken men creating disturbance in Sector 12. please resolve soon.,Police
Water leakage near main bazaar road. needs immediate attention.,Municipal
"Unfair practices in local department reported, please look into it. facing issues since last week.",CM Office (Miscellaneous)
Garbage not collected in Central Avenue for several days. kindly look into this.,Municipal
Women feel unsafe walking home after 7 PM.,Police
Garbage not collected in Downtown for several days. facing issues since last week.,Municipal
Stormwater drain collapsed near community hall. facing issues since last week.,Public Works Department
People blocking roads with illegal sheds. facing issues since last week.,Development Authority
Autos refusing passengers in Green Park. situation getting worse.,Transport
Illegal gambling happening behind signal point. situation getting worse.,Police
Bus shelter at Sector 12 broken and unsafe. situation getting worse.,Transport
Online complaint portal not working for days. needs immediate attention.,CM Office (Miscellaneous)
Drainage overflow causing bad smell near hospital. kindly look into this.,Municipal
Illegal gambling happening behind junction. situation getting worse.,Police
Delay in pension disbursement for seniors. kindly look into this.,CM Office (Miscellaneous)
Illegal gambling happening behind city mall. situation getting worse.,Police
Open manhole in temple dangerous for kids.,Municipal
Uneven road surface leading to traffic problems. kindly look into this.,Public Works Department
Citizen grievance unresolved despite repeated attempts.,CM Office (Miscellaneous)
Water stagnation near bus stop due to poor drainage. kindly look into this.,Public Works Department
People fighting daily at the bus stop. needs immediate attention.,Police
There is frequent eve teasing near the main road. kindly look into this.,Police
No proper communication from officials on issue raised. request urgent action.,CM Office (Miscellaneous)
"Unfair practices in local department reported, please look into it. situation getting worse.",CM Office (Miscellaneous)
Public dustbins overflowing and not cleaned. kindly look into this.,Municipal
Illegal gambling happening behind signal point. please resolve soon.,Police
Water leakage near 2nd street.,Municipal
Theft cases increasing in Downtown. Please increase patrolling. situation getting worse.,Police
Garbage not collected in Downtown for several days. please resolve soon.,Municipal
Streetlights not working since last week in MG Road. please resolve soon.,Municipal
Police not responding quickly during emergencies. facing issues since last week.,Police
Illegal gambling happening behind city mall. needs immediate attention.,Police
"Street damaged after rain, vehicles skidding. kindly look into this.",Public Works Department
Pedestrian crossing signal not working at bus stop. please resolve soon.,Transport
Culvert repair pending at Hill View. please resolve soon.,Public Works Department
Staff behavior rude and unhelpful in office. please resolve soon.,CM Office (Miscellaneous)
Government office not responding to complaints.,CM Office (Miscellaneous)
Citizen grievance unresolved despite repeated attempts.,CM Office (Miscellaneous)
Bridge under repair for months at junction.,Public Works Department
Road full of potholes at market area. needs immediate attention.,Public Works Department
Stormwater drain collapsed near community hall.,Public Works Department
Accidents happening due to no speed breakers at bus stop. please resolve soon.,Transport
Robbery incident reported near bus stop. needs immediate attention.,Police
Broken divider near junction causing jams. facing issues since last week.,Transport
Loud noise and public nuisance every night around bus stop. kindly look into this.,Police
Loud noise and public nuisance every night around temple. facing issues since last week.,Police
Delay in pension disbursement for seniors. kindly look into this.,CM Office (Miscellaneous)
Robbery incident reported near hospital.,Police
Encroachment on public land at park.,Development Authority
Citizen grievance unresolved despite repeated attempts. please resolve soon.,CM Office (Miscellaneous)
Loud noise and public nuisance every night around railway station.,Police
Flyover joints damaged and causing vehicle imbalance. needs immediate attention.,Public Works Department
Loud noise and public nuisance every night around railway station. facing issues since last week.,Police
People blocking roads with illegal sheds. kindly look into this.,Development Authority
Open manhole in park dangerous for kids.,Municipal
Online complaint portal not working for days. needs immediate attention.,CM Office (Miscellaneous)
Women feel unsafe walking home after 7 PM. request urgent action.,Police
Land encroachment by private party near park. situation getting worse.,Development Authority
Land encroachment by private party near park. request urgent action.,Development Authority
Fogging not done properly leading to mosquito menace. situation getting worse.,Municipal
Fogging not done properly leading to mosquito menace. request urgent action.,Municipal
Construction debris dumped near Sector 12.,Development Authority
Complaint regarding layout approval delay. kindly look into this.,Development Authority
Chain snatching reported near city mall. Please take action. situation getting worse.,Police
Poor road markings making driving difficult. please resolve soon.,Transport
Fogging not done properly leading to mosquito menace. needs immediate attention.,Municipal
Water stagnation near hospital due to poor drainage. kindly look into this.,Public Works Department
New road construction delayed at MG Road. request urgent action.,Public Works Department
Need urgent help regarding electricity bill issue. needs immediate attention.,CM Office (Miscellaneous)
Unhygienic conditions near market in Downtown. situation getting worse.,Municipal
Police not responding quickly during emergencies. situation getting worse.,Police
Citizen grievance unresolved despite repeated attempts. situation getting worse.,CM Office (Miscellaneous)
Illegal gambling happening behind petrol bunk. please resolve soon.,Police
Government office not responding to complaints. needs immediate attention.,CM Office (Miscellaneous)
Application not processed even after multiple visits.,CM Office (Miscellaneous)
Flyover construction delay leading to congestion. request urgent action.,Transport
Illegal gambling happening behind petrol bunk. request urgent action.,Police
Plot disputes not being resolved on time. please resolve soon.,Development Authority
Illegal gambling happening behind city mall. request urgent action.,Police
Flyover joints damaged and causing vehicle imbalance. kindly look into this.,Public Works Department
Robbery incident reported near railway station. request urgent action.,Police
Public dustbins overflowing and not cleaned. please resolve soon.,Municipal
Culvert repair pending at Hill View. please resolve soon.,Public Works Department
Illegal gambling happening behind bus depot. please resolve soon.,Police
Uneven road surface leading to traffic problems. request urgent action.,Public Works Department
Drainage overflow causing bad smell near hospital. needs immediate attention.,Municipal
Water stagnation near school due to poor drainage. please resolve soon.,Public Works Department
Plot disputes not being resolved on time. facing issues since last week.,Development Authority
Fogging not done properly leading to mosquito menace. needs immediate attention.,Municipal
Stormwater drain collapsed near junction. situation getting worse.,Public Works Department
Drainage overflow causing bad smell near school. situation getting worse.,Municipal
Waste dumped on roadside in Central Avenue. please resolve soon.,Municipal
"Street damaged after rain, vehicles skidding. situation getting worse.",Public Works Department
Stray dogs attacking people in MG Road. kindly look into this.,Municipal
Drunken men creating disturbance in XYZ Nagar. please resolve soon.,Police
New road construction delayed at MG Road. needs immediate attention.,Public Works Department
Online complaint portal not working for days. situation getting worse.,CM Office (Miscellaneous)
Drainage overflow causing bad smell near school. request urgent action.,Municipal
Staff behavior rude and unhelpful in office. request urgent action.,CM Office (Miscellaneous)
"Unfair practices in local department reported, please look into it. kindly look into this.",CM Office (Miscellaneous)
Water stagnation near school due to poor drainage.,Public Works Department
Government office not responding to complaints. facing issues since last week.,CM Office (Miscellaneous)
Broken divider near signal point causing jams. kindly look into this.,Transport
Unauthorized shops operating near bus depot. request urgent action.,Development Authority
There is frequent eve teasing near the market area. kindly look into this.,Police
Unhygienic conditions near market in Sector 12. situation getting worse.,Municipal
No proper communication from officials on issue raised. kindly look into this.,CM Office (Miscellaneous)
"Footpath broken near MG Road, pedestrians facing issues.",Public Works Department
Need urgent help regarding electricity bill issue.,CM Office (Miscellaneous)
Corruption complaint ignored by local officer. request urgent action.,CM Office (Miscellaneous)
Bus shelter at Sector 12 broken and unsafe. please resolve soon.,Transport
Government office not responding to complaints. request urgent action.,CM Office (Miscellaneous)
Illegal gambling happening behind bus depot. please resolve soon.,Police
Chain snatching reported near community hall. Please take action. please resolve soon.,Police
Accidents happening due to no speed breakers at school. situation getting worse.,Transport
Land encroachment by private party near market area. request urgent action.,Development Authority
Unhygienic conditions near market in Sector 12. situation getting worse.,Municipal
Water stagnation near railway station due to poor drainage. please resolve soon.,Public Works Department
Need urgent help regarding electricity bill issue. request urgent action.,CM Office (Miscellaneous)
Government office not responding to complaints. situation getting worse.,CM Office (Miscellaneous)
Violation of building norms at main road. situation getting worse.,Development Authority
Bus shelter at MG Road broken and unsafe. facing issues since last week.,Transport
Police not responding quickly during emergencies. kindly look into this.,Police
Need urgent help regarding electricity bill issue. facing issues since last week.,CM Office (Miscellaneous)
Plot disputes not being resolved on time. please resolve soon.,Development Authority
Online complaint portal not working for days. facing issues since last week.,CM Office (Miscellaneous)
Accidents happening due to no speed breakers at hospital. facing issues since last week.,Transport
Garbage not collected in Lakeview for several days. please resolve soon.,Municipal
Police not responding quickly during emergencies. situation getting worse.,Police
Chain snatching reported near signal point. Please take action. request urgent action.,Police
Construction debris dumped near Lakeview. kindly look into this.,Development Authority
Poor road markings making driving difficult. please resolve soon.,Transport
Police not responding quickly during emergencies.,Police
Robbery incident reported near temple.,Police
Autos refusing passengers in Green Park. please resolve soon.,Transport
Application not processed even after multiple visits. situation getting worse.,CM Office (Miscellaneous)
Citizen grievance unresolved despite repeated attempts. needs immediate attention.,CM Office (Miscellaneous)
Uneven road surface leading to traffic problems.,Public Works Department
